id,description
54876,"Full and half days, before and after school, infant care, food served, transportation provided. Vpk program."
54877,"Full and half days, drop in, before and after school, infant care, food served, transportation."
54880,"Full day, before and after school, infant care, food served. Vpk program."
54890,Provides child care services to children ages 2 months to 5 years. Also provides summer peace camp.
54894,We supply food to people with little or no income. We seek and accept donations of good quality food and redistribute it as the lord provides.
54895,Sylvan abbey united methodist food pantry.
54896,Home food delivery for six months with possibility of 3 month extention. Also provides spiritual encouragement.
54897,Provides emergency food for families and seniors in need. Application for food stamps must be proven if second request for assistance occurs within a short time of the first request.
54903,Senior dining sites and meals on wheels available.
54998,Provides distribution of surplus commodities throughout clay county.
55000,"Provides home delivered meals and nutrition education to elderly who are handicapped, physically or mentally, homebound, living alone, or with others, who need help in the preparation of meals."
55012,Provides food for the needy. Also takes applications on tuesdays to qualify families for the hearts and hands program.
55030,Emergency food services program
55044,"Provides a three day supply of emergency food to persons in need, regardless of address, race, or sex. Outreach program of st. Giles episcopal church."
55046,Soup kitchen provided for the homeless and those in need.
55050,"A bag of food is provided. The amount of food given depends on the family, or individual. Clothing may also be provided."
55054,Provides hot meal throughout the northern Pinellas area. Meals are available everyday at no charge.
55059,Helps the needs of those who wrestle with incontinence.
55262,"Referrals for persons receiving ssi to obtain a room with access to home and laundry facility. Beautiful home in clermont, florida."
55268,Assist with downpayment and closing cost for eligible first time homebuyers. Assist with rehabilitation services for eligible homeowners.
55277,"A service that helps adults who have disabilities make a successful transition from group homes to their own apartments. These services are available in pinellas, hillsborough and pasco counties"
55281,"Clear credit, budgeting preparations for financial acceptance for mortgage approval"
55287,"Provides an aids care and education program, a representative payee program and refugee and immigrant services."
55301,A low income apartment complex with efficiency and one bedroom apartments.
55479,"Touch of angels home care, inc."
55524,"United Way of North Central Florida that is a Florida nonprofit corporation organized for the purpose of advancing the common good by focusing on education, income, and health."
55698,Provides information and referral services to the community over the telephone.
55709,Volunteer attorneys review completed pro se family law forms and answer procedural questions. Appointments are necessary.
55724,"Combination of supplemental foods, nutrition counseling and education, breastfeeding promotion and support and referrals to health and social services."
